ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
68,Image/train/BARROWS GOLDENEYE/001.jpg,Bird,Barrow's Goldeneye,Anatidae,Bucephala islandica,40-50 cm,"800-1,400 g","Lakes, rivers, and coastal waters",Up to 15 years,"Barrow's Goldeneye is a duck species found in North America and parts of Europe. With its striking black and white plumage and a distinctive round head, it inhabits freshwater lakes and rivers. Barrow's Goldeneyes feed on aquatic invertebrates. Conservation efforts focus on protecting their breeding habitats and addressing potential threats such as habitat degradation and pollution."
69,Image/train/BAT/003bd60fa9.jpg,Mammal,Bat,Chiroptera,Various species,Varies,Varies,Various habitats depending on species,Varies,"Bats are a diverse group of flying mammals found worldwide. With their membranous wings and echolocation abilities, they play crucial roles in pollination and insect control. Bats inhabit a variety of ecosystems, from caves to urban areas. Conservation efforts aim to address threats such as habitat loss, disease, and the impacts of climate change."
70,Image/train/BAY-BREASTED WARBLER/001.jpg,Bird,Bay-breasted Warbler,Parulidae,Setophaga castanea,13 cm,9-13 g,Boreal forests and coniferous areas,7-10 years,"The Bay-breasted Warbler is a migratory songbird found in North America. With its distinctive plumage, including a chestnut crown and a bay-colored wash on its breast, it breeds in the boreal forests of Canada. Bay-breasted Warblers primarily feed on insects. Conservation efforts focus on protecting their breeding habitats and addressing potential threats along migration routes."
71,Image/train/BEAR/039b2ae790.jpg,Mammal,Bear,Ursidae,Various species,Varies,Varies,Various habitats depending on species,Varies,"Bears are large mammals found in various habitats across North America, Europe, and Asia. With their powerful build and distinctive features, they are omnivores that feed on a variety of foods, including berries, fish, and small mammals. Conservation efforts aim to address threats such as habitat loss, human-wildlife conflicts, and poaching to ensure the survival of bear populations."
72,Image/train/BEARDED BARBET/001.jpg,Bird,Bearded Barbet,Lybiidae,Pogonornis dubius,22-27 cm,83-129 g,Woodlands and savannahs,8 to 15 years,"The Bearded Barbet is a bird species found in Africa. With its colorful plumage and distinctive facial markings, it inhabits woodlands and savannas. Bearded Barbets feed on fruits and insects. Conservation efforts focus on preserving their natural habitats and addressing potential threats such as habitat degradation and deforestation."
73,Image/train/BEARDED BELLBIRD/001.jpg,Bird,Bearded Bellbird,Cotingidae,Procnias averano,33-38 cm,135-230 g,Montane forests and cloud forests,Not Available Right Now,"The Bearded Bellbird is a bird species found in Central and South America. With its distinctive and long, wattled throat, it inhabits montane forests. Bearded Bellbirds are known for their unique vocalizations, including loud and far-reaching calls. Conservation efforts aim to protect their montane habitats from deforestation and other anthropogenic threats."
74,Image/train/BEARDED REEDLING/001.jpg,Bird,Bearded Reedling,Panuridae,Panurus biarmicus,13-17 cm,12-25 g,Reedbeds and marshes,Up to 4 years,"The Bearded Reedling, also known as the Bearded Tit, is a bird species found in Europe and Asia. With its distinctive black ""moustache"" and long tail, it inhabits reed beds and wetlands. Bearded Reedlings feed on small invertebrates and seeds. Conservation efforts focus on preserving their wetland habitats and addressing potential threats such as habitat loss and water pollution."
75,Image/train/BEE/0d562e4829.jpg,Insect,Bee,Apidae,Various species,few millimeters to a couple of centimeters,Varies(few milligrams to a few grams),Various habitats depending on species,Varies,"Bees are flying insects known for their role in pollination and honey production. With their diverse species, they play a crucial role in ecosystems and agriculture. Bees feed on nectar and pollen from flowers. Conservation efforts aim to address threats such as habitat loss, pesticide exposure, and diseases that impact bee populations worldwide."
76,Image/train/BEETLE/02b34c63a2.jpg,Insect,Beetle,Coleoptera,Various species,16 cm (6 inches),Varies,Various habitats depending on species,Varies,"Beetles are a diverse group of insects found worldwide. With their hard exoskeletons and diverse forms, beetles inhabit various ecosystems. Many beetles play crucial roles in nutrient recycling and pest control. Conservation efforts focus on understanding their ecological roles and addressing potential threats such as habitat loss and pesticide exposure."
77,Image/train/BELTED KINGFISHER/001.jpg,Bird,Belted Kingfisher,Alcedinidae,Megaceryle alcyon,28-35 cm,113-178 g,"Rivers, lakes, and coastal areas",Up to 7 years,"The Belted Kingfisher is a bird species found in North America. With its distinctive blue and white plumage and a crest on its head, it is often seen near water bodies. Belted Kingfishers feed on fish and insects and are known for their diving hunting behavior. Conservation efforts focus on providing suitable nesting sites along riverbanks and addressing potential threats such as water pollution."
78,Image/train/BIRD OF PARADISE/001.jpg,Bird,Bird of Paradise,Paradisaeidae,Various species,Varies,Varies,Tropical forests and grasslands,Varies,"The Bird of Paradise is a group of colorful and ornate birds found in New Guinea and nearby islands. With their vibrant plumage and elaborate courtship displays, they are known for their beauty and diversity. Bird of Paradise species inhabit rainforests and are often associated with Papua New Guinea's cultural identity. Conservation efforts aim to protect their habitats and address potential threats."
79,Image/train/BISON/02116e752c.jpg,Mammal,Bison,Bovidae,Bison bison,1.5-2 m,"400-1,000 kg",Grasslands and plains,15-25 years,"Bison, also known as American Bison, are large herbivorous mammals found in North America. With their iconic hump and shaggy coat, they are well-adapted to grassland habitats. Bison play crucial roles in maintaining ecosystem health through grazing and creating diverse habitats. Conservation efforts focus on restoring and protecting their native grassland habitats and managing populations for ecological balance."
80,Image/train/BLACK AND YELLOW BROADBILL/001.jpg,Bird,Black and Yellow Broadbill,Eurylaimidae,Eurylaimus ochromalus,17-18 cm,25-30 g,Tropical forests,Not Available Right Now,"The Black and Yellow Broadbill is a bird species found in Southeast Asia. With its striking black and yellow plumage and a broad, flat bill, it inhabits lowland forests. Black and Yellow Broadbills primarily feed on insects. Conservation efforts focus on preserving their tropical forest habitats and addressing potential threats such as habitat loss and fragmentation."
81,Image/train/BLACK BAZA/001.jpg,Bird,Black Baza,Accipitridae,Aviceda leuphotes,33-36 cm,150-260 g,Forests and woodlands,10 to 30 years,"The Black Baza is a bird of prey found in South and Southeast Asia. With its predominantly black plumage and distinctive white markings, it is often seen in forested areas. Black Bazas primarily feed on insects and small vertebrates. Conservation efforts aim to protect their habitats from deforestation and ensure the availability of suitable prey."
82,Image/train/BLACK BREASTED PUFFBIRD/1.jpg,Bird,Black-breasted Puffbird,Bucconidae,Notharchus pectoralis,18-20 cm,53-70 g,Tropical forests and woodlands,Not Available Right Now,"The Black-breasted Puffbird is a bird species found in South America. With its black and white plumage and a distinctive puffed appearance, it inhabits tropical forests. Black-breasted Puffbirds feed on insects and small vertebrates. Conservation efforts focus on preserving their natural habitats and addressing potential threats such as habitat degradation and logging."
83,Image/train/BLACK COCKATO/001.jpg,Bird,Black Cockatoo,Cacatuidae,Various species,Varies,Varies,"Forests, woodlands, and savannas",Varies,"The Black Cockatoo is a large parrot found in Australia. With its black plumage, it is known for its distinctive crest and powerful bill. Black Cockatoos primarily feed on seeds and fruits. Conservation efforts focus on protecting their habitats, addressing threats such as habitat loss and illegal pet trade, and promoting habitat restoration for these iconic parrots."
84,Image/train/BLACK FACED SPOONBILL/001.jpg,Bird,Black-faced Spoonbill,Threskiornithidae,Platalea minor,76-91 cm,1.2-2 kg,Wetlands and coastal areas,Up to 20 years,"The Black-faced Spoonbill is a wading bird found in East Asia. With its distinctive black facial markings and a spoon-shaped bill, it inhabits wetlands and estuaries. Black-faced Spoonbills primarily feed on aquatic invertebrates. Conservation efforts focus on protecting their feeding and breeding sites, addressing habitat degradation, and monitoring their populations."
85,Image/train/BLACK FRANCOLIN/001.jpg,Bird,Black Francolin,Phasianidae,Francolinus francolinus,33-36 cm,450-800 g,Grasslands and scrubby habitats,5 to 7 years,"The Black Francolin is a game bird found in parts of South Asia and Africa. With its distinctive black plumage and a prominent white cheek patch, it inhabits grassy areas and agricultural fields. Black Francolins feed on seeds and insects. Conservation efforts aim to address threats such as habitat loss, hunting, and agriculture-related disturbances to ensure their survival in diverse landscapes."
86,Image/train/BLACK HEADED CAIQUE/001.jpg,Bird,Black-headed Caique,Psittacidae,Pionites melanocephalus,23-28 cm,170-200 g,Tropical forests and woodlands,Up to 20 years or more,"The Black-headed Caique is a parrot species native to South America. With its black head and vibrant yellow and green plumage, it is popular in aviculture. Black-headed Caiques are known for their playful and social behavior. Conservation efforts focus on sustainable practices in the pet trade and raising awareness about the importance of responsible ownership for these charismatic parrots."
87,Image/train/BLACK NECKED STILT/001.jpg,Bird,Black-necked Stilt,Recurvirostridae,Himantopus mexicanus,33-36 cm,140-200 g,"Coastal areas, mudflats, and lakes",15 years,"The Black-necked Stilt is a wading bird found in North and South America. With its long legs and distinctive black and white plumage, it inhabits shallow wetlands and mudflats. Black-necked Stilts primarily feed on small invertebrates. Conservation efforts focus on protecting their habitats and addressing potential threats such as habitat loss, water pollution, and disturbances during the breeding season."
